"siteIDScheme","WBCategory","determinandC","analysed","media","NSamples","minValue","meanValue","maxValue","sd","method"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",3,4.757,6.041,6.966,1.147,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,7.95,8.9,9.85,1.343,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",4,75.5,79.142,81.4,2.577,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",4,8.82,9.587,10.25,0.71,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",6,2.65,6.349,8.41,1.965,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",7,0.009016,0.27048,0.61824,0.237,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",3,63.6,82.4,92.6,16.3,"SFS 3040"
"eionetMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,4.025,5.125,6.225,1.555,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",4,63.875,75.74,96.8,14.453,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,31.3333,31.3333,31.3333,NA,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",12,0.027,0.064,0.193,0.059,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",8,0.065,0.086,0.113,0.017,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",3,0.033,0.037,0.042,0.004,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",3,0.018,0.02,0.022,0.002,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,6.95,7.9833,9.0167,1.4614,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",4,57.6,83.566,100,18.196,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,7.8,8.725,9.65,1.308,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",1,0.048944,0.048944,0.048944,NA,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,72.9,72.9,72.9,0,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,80.428,80.428,80.428,NA,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.016,0.023,0.029,0.009,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,77.833,83.234,88.636,7.638,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,48.444,52.166,55.888,5.264,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,58.7,61.572,64.444,4.061,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,40.8,40.8,40.8,NA,"EN 25813:1992"
